,text,date,time,tz,message_id,symbol,classification,followers,id,strategy,assets_traded,experience,holding_per,username
0,"['Yep', 'The', 'miners', 'look', 'about', 'ready', 'for', 'another', 'puke', '$GDX']",2014-12-16,14:49:48,EST,30319778,GDX,[u'suggested'],24069,10140,Fundamental,[u'Equities'],Professional,Long Term Investor,jessefelder
1,"['General', 'Electric', '$GE', 'says', 'total', 'year', 'framework', 'is', 'on', 'track']",2014-12-16,14:49:12,EST,30319736,GE,"[u'suggested', u'official']",40830,223547,Global Macro,"[u'Equities', u'Options', u'Forex', u'Futures', u'Bonds']",Professional,Day Trader,FinancialJuice
2,"['$TWTR', 'and', '$FB', 'uglies']",2014-12-16,14:49:01,EST,30319719,FB,[u'suggested'],4249,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
3,"['$YELP', 'yuck']",2014-12-16,14:48:46,EST,30319704,YELP,"[u'suggested', u'official']",91317,5,Momentum,[u'Equities'],Intermediate,Position Trader,howardlindzon
4,"['Netflix', 'at', 'interesting', 'levels', 'here', '$NFLX']",2014-12-16,14:46:32,EST,30319574,NFLX,"[u'suggested', u'official']",21394,916,Fundamental,[u'Equities'],Professional,Long Term Investor,ycharts
5,"['OEX', 'put', 'open', 'interest', 'suggests', 'possible', 'test', 'of', '$SPX', '200dma', 'this', 'week', 'currently', '1947', 'area']",2014-12-16,14:46:06,EST,30319542,SPX,[u'suggested'],9025,9448,Technical,"[u'Equities', u'Options', u'Futures']",Professional,Position Trader,MarzBonfire
6,"['quot', '@raoulpal', 'Just', 'to', 'be', 'clear', 'the', 'is', 'the', 'horrific', 'chart', 'of', '$EMB', 'quot']",2014-12-16,14:44:11,EST,30319417,EMB,"[u'ir', u'suggested', u'official']",96293,170,,"[u'Equities', u'Options', u'Forex', u'Futures', u'Bonds', u'Private Companies']",Novice,,StockTwits
7,"['NEW', 'POST', 'Junior', 'Varsity', 'Losers', '$AMZN', '$QQQ', '$P', '$TWTR', '$YELP']",2014-12-16,14:43:52,EST,30319401,AMZN,[u'suggested'],24793,8482,Technical,[u'Equities'],Professional,Swing Trader,chessNwine
8,"['quot', '@raoulpal', 'Just', 'to', 'be', 'clear', 'the', 'is', 'the', 'horrific', 'chart', 'of', '$EMB', 'quot', 'eeps', 'HS']",2014-12-16,14:42:55,EST,30319340,EMB,[u'suggested'],4248,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
9,"['Tuesday', 'links', 'not-so', 'passive', 'investing', 'the', '$RSX', 'crash', 'and', 'the', 'most', 'interesting', 'chart', 'of', '2014', '$USO', '$JNK', '$AAPL', '$GOOG']",2014-12-16,14:41:45,EST,30319256,AAPL,"[u'suggested', u'official']",37586,76,Global Macro,[u'Equities'],Professional,Position Trader,abnormalreturns
