,text,date,time,tz,message_id,symbol,classification,followers,id,strategy,assets_traded,experience,holding_per,username
0,"['whoa', 'big', 'shank', 'quot', '@Estimize', '$RGR', 'misses', 'Estimize', 'EPS', 'Consensus', 'by', '76c', 'and', 'the', 'Estimize', 'Revenue', 'Consensus', 'by', '$6645', 'M', 'quot']",2014-10-29,16:15:13,EST,28594952,RGR,[u'suggested'],21227,3295,Fundamental,[u'Equities'],Intermediate,Long Term Investor,WallStreetBean
1,"['Roses', 'in', 'the', 'Market', 'Today', '$XLF', '$UUP', '$GT', '$MAR', '$NFX', '$EA', '$X', '$XRAY', '$RFMD']",2014-10-29,16:14:35,EST,28594899,EA,"[u'suggested', u'official']",2539,322291,,[],,,361Capital
2,"['Stop', 'on', '$CLDX', 'is', 'break', 'of', '16', 'and', 'on', '$IWM', 'short', 'is', 'today', '39s', 'highs', 'Hit', 'those', 'two', 'and', 'we', 'automatically', 'go', 'flat']",2014-10-29,16:14:08,EST,28594877,CLDX,[u'suggested'],28243,7496,Technical,[u'Equities'],Professional,Day Trader,HCPG
3,"['Update', 'on', 'positions', 'sold', 'or', 'hit', 'trailing', 'stop', 'on', '$SPLK', '$CLF', 'Still', 'have', '$CLDX', 'and', 'today', 'covered', 'half', 'the', 'short', '$IWM', 'hedge']",2014-10-29,16:13:32,EST,28594766,CLDX,[u'suggested'],28243,7496,Technical,[u'Equities'],Professional,Day Trader,HCPG
4,"['Thorns', 'in', 'the', 'Market', 'Today', '$GLD', '$GDX', '$NEM', '$FEZ', '$FB', '$GRMN', '$PNRA', '$SNY', '$CEO', '$ARCP', '$OI']",2014-10-29,16:12:26,EST,28594686,GRMN,"[u'suggested', u'official']",2539,322291,,[],,,361Capital
5,"['XLs', 'mixed', '$XLE', '03', '$XLB', '13', 'ETFs', 'Oil', 'Japan', 'Korea', 'ETFs', 'Miners', 'Europe', 'Housing', 'Materials', 'Brazil', 'Biotech', 'Internet', 'Gold']",2014-10-29,16:10:13,EST,28594550,XLB,"[u'suggested', u'official']",2539,322291,,[],,,361Capital
6,"['$SPX', '01', 'as', 'Fed', 'kills', 'QE', 'Fed', 'notes', 'quotSolid', 'quot', 'job', 'gains', 'Says', 'rates', 'will', 'stay', 'low', 'for', 'quotConsiderable', 'Time', 'quot', 'Europe', 'on', 'Italian', 'Bank', 'worries']",2014-10-29,16:08:12,EST,28594427,SPX,"[u'suggested', u'official']",2539,322291,,[],,,361Capital
7,"['quotat', 'this', 'time', 'quot', 'decided', 'to', 'remain', 'independent', 'and', 'unanimously', 'declined', 'offers', '$SFLY']",2014-10-29,16:06:38,EST,28594327,SFLY,"[u'suggested', u'official']",20620,34354,Fundamental,"[u'Equities', u'Options', u'Forex', u'Futures', u'Bonds', u'Private Companies']",Professional,Long Term Investor,MicroFundy
8,"['during', 'the', 'Q', 'received', 'bid', 'by', 'SEVERAL', 'bids', 'to', 'acquire', 'co', '$SFLY']",2014-10-29,16:06:11,EST,28594294,SFLY,"[u'suggested', u'official']",20620,34354,Fundamental,"[u'Equities', u'Options', u'Forex', u'Futures', u'Bonds', u'Private Companies']",Professional,Long Term Investor,MicroFundy
9,"['Market', 'Commentary', 'Markets', 'Close', 'Quietly', 'US', 'Dollar', 'Skyrockets', 'Averages', 'Have', 'Reverse', 'Doji', '$SPX', '$VIX', '$INDU', '$GLD']",2014-10-29,16:04:24,EST,28594169,SPX,"[u'suggested', u'official']",350,296805,,[],,,TalkMarkets
10,"['$BIDU', 'right', 'at', 'midpt', 'gt', 'quotforecast', 'Q4', 'revenue', 'of', '$226', 'billion', 'to', '$232', 'billion', 'Analysts', 'are', 'looking', 'for', '$229', 'B', 'quot']",2014-10-29,16:03:33,EST,28594074,BIDU,[u'suggested'],21227,3295,Fundamental,[u'Equities'],Intermediate,Long Term Investor,WallStreetBean
11,"['fade', 'of', 'the', 'AH', 'action', 'is', 'in', 'Akamai', 'Tech', 'wow', '$AKAM']",2014-10-29,15:59:13,EST,28593699,AKAM,"[u'suggested', u'official']",29508,12134,Technical,"[u'Equities', u'Options', u'Forex', u'Futures', u'Private Companies']",Intermediate,Swing Trader,1nvestor
