,text,date,time,tz,message_id,symbol,classification,followers,id,strategy,assets_traded,experience,holding_per,username
0,"['@Sidelines', 'i', 'shared', 'that', 'information', 'when', '$AAPL', 'was', 'at', '10970', 'it', 'dropped', 'another', '$2', 'i', 'shared', 'it', 'because', 'it', 'was', 'relevant']",2015-1-2,10:49:13,EST,30820861,AAPL,"[u'suggested', u'official']",22479,74,Momentum,"[u'Equities', u'Options', u'Forex']",Professional,Swing Trader,sspencer_smb
1,"['Are', 'we', 'headed', 'for', 'a', 'late-90s-type', 'bull', 'run', 'Very', 'bullish', 'article', 'from', 'IBD', 'this', 'morning', '$SPY', '$QQQ']",2015-1-2,10:48:56,EST,30820837,SPY,[u'suggested'],23257,22625,Momentum,[u'Equities'],Professional,Position Trader,DarvasTrader
2,"['$STUDY', 'have', 'a', 'nice', 'day', 'all', 'I', 'will', 'be', 'back', 'in', 'the', 'Chat', 'next', 'monday']",2015-1-2,10:48:45,EST,30820829,STUDY,[u'suggested'],3166,5890,Technical,"[u'Equities', u'Options']",Professional,Swing Trader,financialtrader
3,"['This', '$NFLX', 'is', 'strong', 'today', 'Overhearing', 'Jan', 'seasonality', 'effect']",2015-1-2,10:48:39,EST,30820821,NFLX,[u'suggested'],4597,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
4,"['$USO', '$CLF', 'looks', 'to', 'me', 'like', 'it', 'might', 'be', 'finally', 'getting', 'ready', 'for', 'a', 'real', 'bounce']",2015-1-2,10:47:57,EST,30820751,CL_F,[u'suggested'],25146,10140,Fundamental,[u'Equities'],Professional,Long Term Investor,jessefelder
5,"['Long', 'bonds', 'also', 'romping', 'amp', 'stomping', 'to', 'start', '2015', 'Glad', 'we', 'didn', '39t', 'drop', 'our', 'bullish', 'position', 'on', 'the', '1223', 'fakeout', '$TLT']",2015-1-2,10:47:50,EST,30820744,TLT,"[u'suggested', u'official']",15564,20869,Global Macro,"[u'Equities', u'Forex', u'Futures']",Professional,Swing Trader,MercenaryJack
6,"['$RLGT', 'working', 'on', 'a', 'huge', 'level', 'here']",2015-1-2,10:47:18,EST,30820704,RLGT,[u'suggested'],32016,7176,Technical,"[u'Equities', u'Options']",Professional,Day Trader,stt2318
7,"['1046AM', 'Stocks', 'gt', '$2', 'avg', 'vol', 'gt100k', 'change', 'from', 'open', '=', '661', 'change', 'from', 'open', '=', '2717', '$SPY', '$IWM']",2015-1-2,10:47:04,EST,30820687,IWM,"[u'suggested', u'official']",26202,218,Technical,[u'Equities'],Professional,Swing Trader,ZorTrades
8,"['$SPY', '2053121', '920', 'EMA', 'daily', 'targets', 'met', 'today', 'See', 'what', 'we', 'got', '203', 'is', '50', 'DMA']",2015-1-2,10:45:56,EST,30820586,SPY,[u'suggested'],4597,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
9,"['$TFF', 'Daily', 'chart', 'Target', 'hit', 'at', '11936']",2015-1-2,10:45:31,EST,30820557,TF_F,[u'suggested'],25049,32596,Technical,[u'Futures'],Professional,Day Trader,TheFibDoctor
10,"['$SPY', '204', 'WK2', 'puts', 'feel', 'free', 'to', 'take', 'some', 'profits', 'I', '39d', 'stick', 'with', 'it', 'but', 'this', 'was', 'a', 'day', 'tradescalp']",2015-1-2,10:44:53,EST,30820504,SPY,[u'suggested'],2996,21210,Technical,"[u'Equities', u'Options', u'Futures', u'Bonds']",Professional,Swing Trader,Cousin_Vinny
11,"['$ZNF', 'hits', 'target', '127100', '$TLT']",2015-1-2,10:44:49,EST,30820499,ZN_F,[u'suggested'],9559,119747,Technical,[u'Futures'],Professional,Day Trader,AheadoftheNews
12,"['reminder', 'risk', 'Dec', 'gaps', '$ESF', '2008', 'andor', '$NQF', '416025']",2015-1-2,10:44:30,EST,30820473,ES_F,[u'suggested'],9559,119747,Technical,[u'Futures'],Professional,Day Trader,AheadoftheNews
13,"['$RUSS', 'has', 'more']",2015-1-2,10:44:02,EST,30820436,RUSS,[u'suggested'],31054,1769,Technical,[u'Equities'],Professional,Day Trader,szaman
