,text,date,time,tz,message_id,symbol,classification,followers,id,strategy,assets_traded,experience,holding_per,username
0,"['$spy', 'follow', 'up', 'with', 'levels', 'and', 'thoughts', 'as', 'things', 'need', 'time']",2014-12-18,10:49:36,EST,30407075,SPY,"[u'suggested', u'official']",25263,127912,Technical,"[u'Equities', u'Options']",Professional,Swing Trader,RedDogT3
1,"['$mbt', 'i', 'dont', 'do', 'drugs', 'BUT', 'I', 'LOVE', 'CRACK']",2014-12-18,10:48:59,EST,30407025,MBT,[u'suggested'],20142,122643,Momentum,[u'Equities'],Professional,Day Trader,kunal00
2,"['quot', '@crosshairtrader', '$PNC', 'from', '126', 'and', 'nowas', 'a', 'new', 'box', 'break', 'takes', 'hold', 'quot']",2014-12-18,10:48:03,EST,30406949,PNC,"[u'suggested', u'official']",31239,12134,Technical,"[u'Equities', u'Options', u'Forex', u'Futures', u'Private Companies']",Intermediate,Swing Trader,1nvestor
3,"['$ORCL', 'UP', '8', 'These', 'are', 'its', 'highest', 'levels', 'since', 'September', '2000', 'Wow', 'Trending', 'too', 'Earnings', 'were', 'yesterday']",2014-12-18,10:47:39,EST,30406914,ORCL,"[u'ir', u'suggested', u'official']",96740,170,,"[u'Equities', u'Options', u'Forex', u'Futures', u'Bonds', u'Private Companies']",Novice,,StockTwits
4,"['Option', 'traders', 'have', 'wasted', 'no', 'time', 'in', 'building', 'positions', 'in', '$QSR']",2014-12-18,10:47:26,EST,30406895,QSR,"[u'suggested', u'official']",31239,12134,Technical,"[u'Equities', u'Options', u'Forex', u'Futures', u'Private Companies']",Intermediate,Swing Trader,1nvestor
5,"['$XLE', 'stalled', 'just', 'above', 'the', '200-week', 'sma', 'this', 'morning']",2014-12-18,10:47:05,EST,30406873,XLE,"[u'suggested', u'official']",33057,13740,,[u'Equities'],Professional,,hertcapital
6,"['$mbt', 'crack']",2014-12-18,10:46:50,EST,30406855,MBT,[u'suggested'],20142,122643,Momentum,[u'Equities'],Professional,Day Trader,kunal00
7,"['$XLE', '$XOP', 'red']",2014-12-18,10:46:33,EST,30406826,XLE,"[u'suggested', u'official']",13142,142159,Global Macro,[u'Equities'],Professional,Position Trader,JLyonsFundMgmt
8,"['Yo', '$AMZN', 'should', 'have', 'shorted', 'that', 'one']",2014-12-18,10:45:01,EST,30406704,AMZN,[u'suggested'],4320,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
9,"['@stocktwits', 'sentiment', 'towards', '$NQF', 'not', 'much', 'more', 'constructive']",2014-12-18,10:44:36,EST,30406665,NQ_F,[u'suggested'],24240,10140,Fundamental,[u'Equities'],Professional,Long Term Investor,jessefelder
10,"['Did', 'crude', 'sell-off', 'go', 'too', 'far', '$CLF']",2014-12-18,10:44:39,EST,30406668,CL_F,"[u'suggested', u'official']",2437,193178,Technical,"[u'Equities', u'Options', u'Forex', u'Futures', u'Bonds']",Professional,,FuturesMagazine
11,"['Added', 'short', '$ANGI', 'at', '695']",2014-12-18,10:44:11,EST,30406634,ANGI,[u'suggested'],16826,2314,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,bearcharts
12,"['But', '$QQQ', 'is', 'insanely', 'strong']",2014-12-18,10:43:48,EST,30406596,QQQ,[u'suggested'],4320,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
13,"['$USO', 'gt', 'That', 'is', 'chart', 'of', 'a', 'crashing', 'security']",2014-12-18,10:43:27,EST,30406572,USO,[u'suggested'],26083,143396,Technical,[u'Equities'],Intermediate,Swing Trader,BenCBanks
14,"['$XLU', 'from', '1128', 'Trying', 'to', 'break', 'and', 'hold', 'here']",2014-12-18,10:43:25,EST,30406567,XLU,[u'suggested'],12175,23961,Technical,"[u'Equities', u'Options']",Professional,Swing Trader,crosshairtrader
15,"['Potential', 'Cyclical', 'Top', 'Forming', 'In', 'Stock', 'Market', '$SPX']",2014-12-18,10:43:25,EST,30406565,SPX,"[u'suggested', u'official']",1440,296805,,[],,,TalkMarkets
16,"['$russ', 'sold', 'some', '305s']",2014-12-18,10:42:31,EST,30406498,RUSS,[u'suggested'],20142,122643,Momentum,[u'Equities'],Professional,Day Trader,kunal00
17,"['Our', 'oil', 'shorts', 'working', 'well', '$SCO', '$EMES', '$LNCO']",2014-12-18,10:42:27,EST,30406489,SCO,[u'suggested'],30615,1769,Technical,[u'Equities'],Professional,Day Trader,szaman
18,"['Die', '$GPRO']",2014-12-18,10:42:19,EST,30406476,GPRO,[u'suggested'],4320,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
19,"['$mbt', 'watch', 'this', 'crack', 'under', '82']",2014-12-18,10:42:12,EST,30406462,MBT,[u'suggested'],20142,122643,Momentum,[u'Equities'],Professional,Day Trader,kunal00
