,text,date,time,tz,message_id,symbol,classification,followers,id,strategy,assets_traded,experience,holding_per,username
0,"['Bull', 'of', 'the', 'Day', 'Seattle', 'Genetics', '$SGEN', 'December', '19', '2014']",2014-12-20,21:44:36,EST,30512031,SGEN,"[u'suggested', u'official']",29259,86830,Fundamental,"[u'Equities', u'Options', u'Private Companies']",Professional,Position Trader,bbolan1
1,"['YouTube', 's', 'Chief', 'Hitting', 'a', 'New', 'Play', 'Button', '@jonathanmahler', '@nytimes', '$goog']",2014-12-20,21:29:19,EST,30511867,GOOG,"[u'suggested', u'official']",91711,5,Momentum,[u'Equities'],Intermediate,Position Trader,howardlindzon
2,"['$TWTR', 'is', 'Doing', 'One-Thing', 'Way', 'More', 'Than', 'Everyone', 'Said', 'at', 'Stocktoberfest', 'This', 'is', 'THE', 'BET', '$AAPL', '$STUDY', '@StockTwits']",2014-12-20,21:14:17,EST,30511733,AAPL,[u'suggested'],3077,394798,,[],,,CapitalMarketLabs
3,"['$SPY', 'Trends', 'and', 'Influencers', 'December', '20', '2014', 'Dragonfly', 'Capital']",2014-12-20,21:09:15,EST,30511695,SPY,"[u'suggested', u'official']",65483,881,Technical,"[u'Equities', u'Options']",Professional,Swing Trader,harmongreg
4,"['New', 'BLOG', 'POST', 'quot401k', 'Review', 'quot', 'amp', 'thoughts', 'for', 'next', 'week', 'Lots', 'going', 'on', 'the', 'week', 'of', 'Christmas', '$SPY', '$COMPQ', '$DXF', '$CLF']",2014-12-20,20:57:52,EST,30511584,CL_F,[u'suggested'],2766,21210,Technical,"[u'Equities', u'Options', u'Futures', u'Bonds']",Professional,Swing Trader,Cousin_Vinny
5,"['$SPY', 'My', 'August', 'article', 'on', '8-mo', 'window', 'for', '$SPX', 'to', 'achieve', '17-18X', 'EPS', 'of', '$125', '130', 'quotS', 'ampP', '2250', 'Closer', 'Than', 'You', 'Think', 'quot']",2014-12-20,20:55:35,EST,30511562,SPX,"[u'suggested', u'official']",7296,15521,Fundamental,"[u'Equities', u'Futures']",Professional,Swing Trader,KevinBCook
6,"['Momentum', 'Thy', 'Name', 'Is', 'Healthcare', '$AGN', '$AMGN', '$CELG', '$EW', '$GILD', '$ILMN', '$ISRG', '$JNJ', '$MTUM', '$UNH', '$XBI']",2014-12-20,20:39:27,EST,30511405,AMGN,"[u'suggested', u'official']",1498,296805,,[],,,TalkMarkets
7,"['Momentum', 'Thy', 'Name', 'Is', 'Healthcare', 'by', 'Charlie', 'Bilelo', '$MTUM', '$JNJ', '$GILD', '$AMGN', '$CELG', '$UNH', '$AGN', '$ISRG', '$ILMN', '$EW', '$XBI']",2014-12-20,20:38:51,EST,30511399,AMGN,"[u'suggested', u'official']",1498,296805,,[],,,TalkMarkets
8,"['Former', 'BitInstant', 'CEO', 'Charlie', 'Shrem', 'gets', 'two', 'years', 'in', 'prison', 'for', 'Silk', 'Road', 'money', 'laundering', '$BCOIN', '$BTCUSD', '$DOGE']",2014-12-20,20:31:13,EST,30511333,BCOIN,[u'suggested'],32469,391,Technical,[u'Equities'],Professional,Swing Trader,jackdamn
9,"['The', 'Central', 'Fact', 'The', 'Same', 'Whales', 'Rule', 'In', 'The', 'Worldwide', 'Liquidity', 'Pool', '$BAC', '$BCS', '$BNPQF', '$C', '$CS', '$DB', '$GS', '$JPM', '$MS', '$httpgooglIT7uFT']",2014-12-20,20:16:31,EST,30511219,BAC,"[u'suggested', u'official']",1498,296805,,[],,,TalkMarkets
